properties.nombre,properties.libres,timestamp
Estación,324,2022-01-23 23:18:27.350437
Illumbe,0,2022-01-23 23:18:27.350437
Katalunia,370,2022-01-23 23:18:27.350437
Kontxa,546,2022-01-23 23:18:27.350437
Kursaal,186,2022-01-23 23:18:27.350437
Okendo,559,2022-01-23 23:18:27.350437
Ondarreta,0,2022-01-23 23:18:27.350437
Pio XII,470,2022-01-23 23:18:27.350437
San Martin,255,2022-01-23 23:18:27.350437
Txofre,10,2022-01-23 23:18:27.350437
Zuatzu,0,2022-01-23 23:18:27.350437
Arcco,0,2022-01-24 01:07:33.844728
Atotxa,179,2022-01-24 01:07:33.844728
Boulevard,339,2022-01-24 01:07:33.844728
Buen Pastor,330,2022-01-24 01:07:33.844728
Easo,153,2022-01-24 01:07:33.844728
Estación,324,2022-01-24 01:07:33.844728
Illumbe,0,2022-01-24 01:07:33.844728
Katalunia,374,2022-01-24 01:07:33.844728
Kontxa,553,2022-01-24 01:07:33.844728
Kursaal,188,2022-01-24 01:07:33.844728
Okendo,561,2022-01-24 01:07:33.844728
Ondarreta,0,2022-01-24 01:07:33.844728
Pio XII,470,2022-01-24 01:07:33.844728
San Martin,256,2022-01-24 01:07:33.844728
Txofre,10,2022-01-24 01:07:33.844728
Zuatzu,0,2022-01-24 01:07:33.844728
Arcco,0,2022-01-24 02:35:18.466444
Atotxa,179,2022-01-24 02:35:18.466444
Boulevard,341,2022-01-24 02:35:18.466444
Buen Pastor,330,2022-01-24 02:35:18.466444
Easo,153,2022-01-24 02:35:18.466444
Estación,324,2022-01-24 02:35:18.466444
Illumbe,0,2022-01-24 02:35:18.466444
Katalunia,375,2022-01-24 02:35:18.466444
Kontxa,562,2022-01-24 02:35:18.466444
Kursaal,188,2022-01-24 02:35:18.466444
Okendo,561,2022-01-24 02:35:18.466444
Ondarreta,0,2022-01-24 02:35:18.466444
Pio XII,471,2022-01-24 02:35:18.466444
San Martin,255,2022-01-24 02:35:18.466444
Txofre,10,2022-01-24 02:35:18.466444
Zuatzu,0,2022-01-24 02:35:18.466444
Arcco,0,2022-01-24 03:22:13.721110
Atotxa,179,2022-01-24 03:22:13.721110
Boulevard,341,2022-01-24 03:22:13.721110
Buen Pastor,330,2022-01-24 03:22:13.721110
Easo,153,2022-01-24 03:22:13.721110
Estación,324,2022-01-24 03:22:13.721110
Illumbe,0,2022-01-24 03:22:13.721110
Katalunia,375,2022-01-24 03:22:13.721110
Kontxa,562,2022-01-24 03:22:13.721110
Kursaal,188,2022-01-24 03:22:13.721110
Okendo,561,2022-01-24 03:22:13.721110
Ondarreta,0,2022-01-24 03:22:13.721110
Pio XII,471,2022-01-24 03:22:13.721110
San Martin,255,2022-01-24 03:22:13.721110
Txofre,10,2022-01-24 03:22:13.721110
Zuatzu,0,2022-01-24 03:22:13.721110
Arcco,0,2022-01-24 04:25:22.530157
Atotxa,179,2022-01-24 04:25:22.530157
Boulevard,340,2022-01-24 04:25:22.530157
Buen Pastor,330,2022-01-24 04:25:22.530157
Easo,155,2022-01-24 04:25:22.530157
Estación,323,2022-01-24 04:25:22.530157
Illumbe,0,2022-01-24 04:25:22.530157
Katalunia,376,2022-01-24 04:25:22.530157
Kontxa,562,2022-01-24 04:25:22.530157
Kursaal,188,2022-01-24 04:25:22.530157
Okendo,562,2022-01-24 04:25:22.530157
Ondarreta,0,2022-01-24 04:25:22.530157
Pio XII,471,2022-01-24 04:25:22.530157
San Martin,256,2022-01-24 04:25:22.530157
Txofre,10,2022-01-24 04:25:22.530157
Zuatzu,0,2022-01-24 04:25:22.530157
Arcco,0,2022-01-24 05:17:25.522169
Atotxa,178,2022-01-24 05:17:25.522169
Boulevard,337,2022-01-24 05:17:25.522169
Buen Pastor,328,2022-01-24 05:17:25.522169
Easo,154,2022-01-24 05:17:25.522169
Estación,319,2022-01-24 05:17:25.522169
Illumbe,0,2022-01-24 05:17:25.522169
Katalunia,377,2022-01-24 05:17:25.522169
Kontxa,562,2022-01-24 05:17:25.522169
Kursaal,187,2022-01-24 05:17:25.522169
Okendo,563,2022-01-24 05:17:25.522169
Ondarreta,0,2022-01-24 05:17:25.522169
Pio XII,471,2022-01-24 05:17:25.522169
San Martin,252,2022-01-24 05:17:25.522169
Txofre,10,2022-01-24 05:17:25.522169
Zuatzu,0,2022-01-24 05:17:25.522169
Arcco,0,2022-01-24 06:26:20.918915
Atotxa,179,2022-01-24 06:26:20.918915
Boulevard,339,2022-01-24 06:26:20.918915
Buen Pastor,333,2022-01-24 06:26:20.918915
Easo,159,2022-01-24 06:26:20.918915
Estación,312,2022-01-24 06:26:20.918915
Illumbe,0,2022-01-24 06:26:20.918915
Katalunia,378,2022-01-24 06:26:20.918915
